1860	2	9062
1505	0	1506
3418	0	3393
1195	3	1347
9103	3	585
674	4	303
4001	0	3989
9091	3	4044
6213	1	6234
183	0	178
3332	2	3328
10631	0	6249
4835	3	450
192	0	178
8785	1	8784
4703	3	4725
5558	1	5559
303	3	553
1757	0	1681
8971	0	8911
3161	3	1965
4847	0	4829
5924	1	5950
3984	0	3989
470	0	710
10366	2	2712
9818	0	9801
6249	3	2352
169	2	3551
2271	0	2264
10388	0	10366
9067	0	9069
1740	0	1681
7202	0	7204
10673	1	10681
9069	3	585
4332	3	2352
4538	1	4631
6106	0	6051
3865	0	3502
5288	1	5286
9432	0	9429
10366	2	10417
2306	3	280
1208	0	1195
749	0	707
7073	0	7039
644	0	303
10371	0	10366
38	1	80
4835	3	584
8776	4	8620
8413	0	8404
9374	0	9366
8657	1	8656
3848	0	3502
5719	3	86
10770	0	5979
2878	0	2698
1191	0	1195
3500	0	3501
732	0	707
2874	1	3103
9739	0	9726
8284	0	8239
8658	0	8620
6902	1	6992
4146	3	3669
8532	3	8542
5405	0	5173
1877	0	1878
6445	0	6344
3438	0	3396
8846	1	8871
8267	0	8239
10761	3	1493
7180	3	962
8641	0	8620
2966	0	2698
8597	3	960
6550	0	6344
7067	4	7041
6428	0	6344
9753	0	9718
10064	0	4146
10761	3	1843
1842	2	6266
10622	0	10614
480	1	517
2273	1	2287
8855	0	8841
5554	4	5524
2949	0	2698
10390	0	10362
10366	3	1862
214	1	259
6533	0	6344
10230	1	10232
10835	1	10834
7175	2	5797
1216	1	1284
2443	1	2453
6420	0	6344
6516	0	6344
8188	0	8164
10710	0	10614
423	0	418
7090	0	6344
10013	0	177
5541	0	5524
5642	4	5524
10703	0	10685
297	2	10082
9108	3	2113
6499	0	6344
2263	3	2035
8552	3	8566
4582	1	4670
9795	3	1343
10693	0	10614
1472	3	1092
5625	4	5524
3303	3	173
2755	0	2699
10010	1	10038
10379	0	10364
4104	3	4177
2205	2	10415
279	2	10415
1501	3	447
9811	0	9460
7069	4	7037
8834	3	2256
3284	0	3180
7064	0	7037
10162	4	10102
1359	3	2196
10460	3	557
7298	0	7175
9366	3	8356
8487	0	8404
8382	3	9991
2737	3	297
10589	0	10573
706	3	821
10482	0	10460
1862	2	5488
3267	0	3180
876	3	86
3875	1	3937
8470	0	8404
10189	0	10185
837	3	818
5409	1	5408
4102	2	4173
5293	4	5176
9735	0	9719
9246	4	9194
1880	3	1553
1467	4	1375
7367	0	7322
5726	0	5719
8453	0	8404
1219	1	1287
8494	1	8513
4836	0	4832
4862	0	4829
3514	1	3531
9879	1	9926
5276	4	5176
1674	3	1092
4736	3	4751
9389	1	9406
9804	3	2207
2262	3	169
