12465	2	12538
20009	2	14079
17027	2	17106
23973	0	17722
22042	0	22019
21359	0	21269
16323	1	16335
15178	2	14779
14297	2	12589
15555	2	12461
20191	1	20246
21168	0	21080
12474	3	21064
22995	1	23048
17454	0	17444
17049	2	14448
22584	0	22710
23956	0	17722
13679	0	14363
23965	0	23953
21342	0	21269
15200	0	14704
20035	3	20107
12998	3	12633
21151	0	21080
17327	3	14080
16186	2	16237
16444	1	16459
12506	0	12504
19251	0	19178
15892	2	14238
16409	1	16422
15984	1	16095
12546	1	12563
17789	2	12409
12386	1	12406
16804	0	12600
15242	0	15178
18937	0	18928
12599	2	12626
21981	2	12423
21134	0	21080
21175	0	21143
19703	0	19178
20729	0	20667
21691	2	12482
19234	0	19178
22707	1	22747
12377	1	12396
23896	4	23685
21313	0	21267
13505	3	13664
17259	2	12590
18437	0	17781
21570	0	21485
15225	0	15178
15784	3	15942
22551	0	22535
22995	0	22957
19111	0	15892
21158	0	21143
20712	0	20667
17340	0	17332
16962	0	16966
12547	2	12589
15951	2	12409
21714	0	21692
12817	3	12616
21296	0	21267
17588	3	13663
19060	2	12595
19661	1	19972
15208	0	15178
17447	1	17470
17673	0	17444
13119	0	12994
23364	2	12589
15480	0	15462
12500	3	14348
17531	0	17500
12600	3	12633
22534	0	22535
21141	0	21143
20166	0	20138
20607	2	12906
15555	2	14234
21697	0	21692
21279	0	21267
20380	2	12855
20428	0	20378
15191	0	15178
19037	0	19040
13102	0	12994
17328	0	17327
12868	2	12902
15570	0	15554
18855	1	18915
12501	3	17182
15296	0	15178
20139	2	12593
17304	2	14088
16968	3	13661
17722	2	12587
16186	2	12533
22716	2	12536
14387	2	12585
14696	2	12409
20631	0	20628
21367	0	21267
21236	0	21230
14916	0	14704
18652	1	18742
23385	1	23406
13190	0	12994
15714	0	15555
16853	0	16849
17769	0	17763
23682	3	23702
20155	0	20140
18083	1	18363
18929	2	12483
14082	2	12500
19108	0	19040
13173	0	12994
17920	0	17872
15697	0	15555
18477	0	18452
14156	0	14136
23109	1	23107
20011	2	13778
17284	3	21673
20452	0	20390
14387	3	14449
16964	2	12461
19074	0	19064
20744	1	20819
16742	0	16721
16354	2	14496
20519	3	20542
14065	2	12500
19091	0	19040
14904	1	14903
18460	0	18452
12592	3	15944
20337	2	12618
19125	3	19119
20338	2	20375
19657	0	20010
22379	0	22093
13510	2	12362
14455	2	14695
15996	1	16068
16725	0	16721
18565	0	18452
